"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"119537",8,"site36",2010,76,133,0,56.48,1
"120018",5,"site37",2009,48,158,0,56.7,1
"120227",8,"site37",2005,51,139,0,56.7,1
"120298",19,"site37",2000,17,152,1,56.7,1
"120337",8,"site37",2008,47,151,1,56.7,1
"120783",18,"site37",2003,49,135,0,56.7,1
"121465",9,"site37",2007,53,137,0,56.7,1
"121519",5,"site37",2002,48,138,1,56.7,1
"121712",6,"site37",2006,52,139,0,56.7,1
"121831",8,"site37",2012,58,139,0,56.7,0.9875
"122016",3,"site37",2010,56,139,0,56.7,1
"122482",13,"site38",2012,78,142,0,56.7,1
"122631",15,"site38",2008,74,139,0,56.7,1
"123521",15,"site38",2000,66,143,0,56.7,1
"123722",7,"site38",2009,75,136,0,56.7,1
"123897",18,"site38",2007,73,137,0,56.7,1
"124234",9,"site38",2003,69,137,0,56.7,1
"125043",20,"site38",2001,67,139,0,56.7,1
"125070",25,"site38",1999,65,144,0,56.7,1
"125088",11,"site38",1998,64,143,1,56.7,1
"125102",12,"site38",2010,76,134,0,56.7,1
"125486",9,"site38",2011,77,137,0,56.7,1
"125657",10,"site38",2004,70,140,0,56.7,1
"125782",13,"site38",2005,71,141,0,56.7,1
"125803",39,"site38",2002,68,137,0,56.7,1
"125898",11,"site38",2006,72,139,0,56.7,1
"126564",6,"site39",2011,36,141,1,56.48,0.9875
"126856",0,"site39",2004,52,142,0,56.48,0.9875
"126872",9,"site39",1999,47,145,0,56.48,0.975
"127652",1,"site39",2006,54,146,0,56.48,0.9875
"128270",4,"site39",2003,51,144,0,56.48,0.9875
"128744",4,"site39",1998,46,140,0,56.48,0.975
"129028",14,"site39",2012,37,145,0,56.48,0.9875
"129195",3,"site39",2008,26,147,1,56.48,0.9
"129437",5,"site39",2000,48,147,0,56.48,0.975
"129579",8,"site39",2009,27,146,0,56.48,0.9625
"129603",2,"site39",2007,55,144,0,56.48,0.9875
"129715",5,"site39",2005,53,148,0,56.48,0.9875
"130086",1,"site39",2001,49,145,0,56.48,0.975
"130561",1,"site40",1998,30,162,0,56.48,1
"131322",0,"site40",2011,43,155,0,56.48,1
"132312",0,"site40",1999,31,157,0,56.48,1
"132573",0,"site40",2000,32,155,0,56.48,1
"132630",0,"site40",2001,33,154,0,56.48,1
"132815",0,"site40",2008,40,157,0,56.48,1
"132888",0,"site40",2010,42,155,0,56.48,1
"133187",0,"site40",2009,41,156,0,56.48,1
"133319",0,"site40",2002,34,151,0,56.48,1
"133416",0,"site40",2005,37,155,0,56.48,1
"133762",0,"site40",2004,36,151,0,56.48,1
"133799",2,"site40",2006,38,156,0,56.48,1
"134323",9,"site41",2008,39,135,0,56.7,0.95
"134417",2,"site41",2010,41,133,0,56.7,0.95
"134544",10,"site41",2005,36,160,1,56.7,0.95
"135150",3,"site41",2011,42,136,0,56.7,0.95
"135725",2,"site41",2006,37,136,0,56.7,0.95
"135752",2,"site41",2002,50,161,1,56.7,0.952777777777778
"136141",4,"site41",2009,40,134,0,56.7,0.95
"136374",5,"site41",2007,38,135,0,56.7,0.95
"136515",0,"site41",2004,68,139,1,56.7,0.975
"136720",8,"site41",2012,43,138,0,56.7,0.95
"137115",0,"site42",2008,43,142,0,57.1,0.9875
"137307",0,"site42",2003,38,146,0,57.1,0.975
"137474",0,"site42",2007,42,143,0,57.1,0.9875
"138117",0,"site42",2012,47,145,0,57.1,0.9875
"138221",0,"site42",2004,39,147,0,57.1,1
"138889",0,"site42",2002,37,145,0,57.1,0.9890625
"139129",0,"site42",2009,44,143,0,57.1,0.9875
"139642",0,"site42",2010,45,146,0,57.1,0.9875
"139711",0,"site42",2006,41,147,0,57.1,1
"139812",0,"site42",2001,36,146,1,57.1,0.9890625
"140525",4,"site43",1998,63,172,0,56.89,0.9375
"140583",2,"site43",2010,43,153,1,56.89,0.9875
"141132",0,"site43",2006,52,151,1,56.89,1
"141518",4,"site43",2008,54,148,0,56.89,1
"141717",5,"site43",1999,64,164,0,56.89,0.9375
"142149",1,"site43",2002,67,163,0,56.89,0.9375
"142498",0,"site43",2012,45,143,0,56.89,0.9375
"142500",1,"site43",2000,65,164,0,56.89,0.9375
"142506",0,"site43",2011,44,166,0,56.89,0.825
"142960",1,"site43",2003,68,164,0,56.89,0.875
"143155",1,"site43",2001,66,149,0,56.89,0.9375
"143823",38,"site44",2000,42,159,1,56.9,1
"143857",26,"site44",2008,50,147,0,56.9,1
"144075",28,"site44",2001,43,143,0,56.9,1
"144142",41,"site44",2007,49,155,0,56.9,1
"144153",15,"site44",2011,53,150,0,56.9,1
"144468",26,"site44",2004,46,151,0,56.9,1
"144846",55,"site44",2005,47,156,0,56.9,1
"144941",27,"site44",2009,51,152,0,56.9,1
"145261",49,"site44",2003,45,148,0,56.9,1
"146065",13,"site44",2006,48,156,0,56.9,1
"146248",22,"site44",2010,52,152,0,56.9,1
"146515",28,"site44",2012,54,150,0,56.9,1
"146579",19,"site44",2002,44,150,0,56.9,1
"146856",20,"site45",2003,56,150,0,57.12,1
"146922",12,"site45",2008,61,152,0,57.12,1
"147188",12,"site45",2012,45,157,1,57.12,0.9625
"147240",18,"site45",2004,57,157,0,57.12,1
"147551",8,"site45",2006,59,154,0,57.12,1
"147911",10,"site45",2002,55,141,1,57.12,0.9921875
"148292",11,"site45",2007,60,153,0,57.12,0.975
"149171",16,"site45",2009,62,149,0,57.12,1
"149247",20,"site45",2005,58,154,0,57.12,1
"149552",6,"site46",1998,46,156,1,57.13,0.9140625
"150048",6,"site46",2006,54,160,0,57.13,0.925
